group	claim_id	target	role
R_ACCEPTED	R-CL-FIELD-001	BOMA.R.DedekindOrderedFieldClosure001.rInverse_positive_of_positive	accepted_claim_producer
R_ACCEPTED	R-CL-COMP-001	BOMA.R.DedekindCompleteness001.rDedekind_lub_exists	accepted_claim_producer
R_ACCEPTED	R-CL-DENSITY-001	BOMA.R.DedekindRationalDensity001.r_rational_image_dense	accepted_claim_producer
R_ACCEPTED	R-CL-ARCH-001	BOMA.R.DedekindArchimedean001.r_archimedean_strict_upper	accepted_claim_producer
R_ACCEPTED	R-CL-INTEGRATION-001	BOMA.R.StageIntegration002.rStageIntegrationCertificate	accepted_claim_producer
C_ACCEPTED	C-CL-CARRIER-001	BOMA.C.RoutePairProbe001.PairCandidate	accepted_claim_producer
C_ACCEPTED	C-CL-CARRIER-001	BOMA.C.PairCore001.CBOMA	accepted_claim_producer
C_ACCEPTED	C-CL-CARRIER-001	BOMA.C.PairCore001.c_ext	accepted_claim_producer
C_ACCEPTED	C-CL-REMBED-001	BOMA.C.PairCore001.c_ofR_injective	accepted_claim_producer
C_ACCEPTED	C-CL-REMBED-001	BOMA.C.PairCore001.c_ofR_zero	accepted_claim_producer
C_ACCEPTED	C-CL-REMBED-001	BOMA.C.PairCore001.c_ofR_one	accepted_claim_producer
C_ACCEPTED	C-CL-REMBED-001	BOMA.C.PairCore001.c_ofR_neg	accepted_claim_producer
C_ACCEPTED	C-CL-REMBED-001	BOMA.C.PairCore001.c_ofR_add	accepted_claim_producer
C_ACCEPTED	C-CL-REMBED-001	BOMA.C.PairCore001.c_ofR_mul	accepted_claim_producer
C_ACCEPTED	C-CL-FIELD-001	BOMA.C.PairNormInverse001.cPairFieldCertificateFromAcceptedR	accepted_claim_producer
C_ACCEPTED	C-CL-I-001	BOMA.C.PairCore001.c_i_squared	accepted_claim_producer
C_ACCEPTED	C-CL-GEN-001	BOMA.C.PairCore001.c_generation	accepted_claim_producer
C_ACCEPTED	C-CL-COORDUNIQ-001	BOMA.C.PairCore001.c_coordinate_unique	accepted_claim_producer
C_ACCEPTED	C-CL-NONREAL-001	BOMA.C.PairCore001.c_i_not_real	accepted_claim_producer
C_ACCEPTED	C-CL-COMPARE-001	BOMA.C.QuadraticComparison001.selectedPresentation	accepted_claim_producer
C_ACCEPTED	C-CL-COMPARE-001	BOMA.C.QuadraticComparison001.selectedQuadraticComparison	accepted_claim_producer
C_ACCEPTED	C-CL-COMPARE-001	BOMA.C.QuadraticComparison001.selectedConstructiveQuadraticIsomorphism	accepted_claim_producer
C_ACCEPTED	C-CL-INTEGRATION-001	BOMA.C.StageIntegration001.cStageIntegrationCertificate	accepted_claim_producer
C_ACCEPTED	C-CL-INTEGRATION-001	BOMA.R.StageIntegration002.rStageIntegrationCertificate	accepted_real_input
ST2_EXP_001_NARROW_R	C-CL-INTEGRATION-001	BOMA.C.StageTwo.NarrowRInterface001.narrowRFromAcceptedProducers	sixteen_property_production_interface_control
ST2_EXP_011_GENERIC_COMPARISON	C-CL-COMPARE-001	BOMA.C.StageTwo.ComparisonInterface011.quadraticComparison	comparison_specific_negative_control
